question,a,b,c,d,answer
Mycology is the scientific study of what?,Cancer cells,Flowers,Fungi,Blood,c
What animal species is the only male that gets pregnant?,Dolphin,Elephant Seal,Sea Turtle,Seahorse,d
What is the hardest natural substance in the world?,Granite,Marble,Iron,Diamond,d
How many bones are in the human body?,167,198,206,372,c
The concept of gravity was discovered by which famous physicist?,Galileo Galilei,Robert Hooke,Isaac Newton,Albert Einstein,c
Where does sound travel faster?,Air,Water,Land,Rock,b
Which is the main gas that makes up the Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Argon,b
What is the rarest blood type?,A+,B-,AB-,O+,c
What planet in our solar system has the most gravity?,Jupiter,Mars,Earth,Venus,a
What is the unit of wavelength?,Hertz,Diopter,Faraday,Meter,D
What company makes the Xperia model of smartphone?,Samsung,Sony,Nokia,Microsoft,b
At what temperature Celsius and Fahrenheit equal?,100,0,-32,-40,d
What does NASA stand for?,National Aeronautics and Space Administration,Nautical And Space Association,National Aeronautics and Space Association,New Aeronautics and Spacial Administration,a
What search engine did Google beat in 2004 in order to become the most successful search engine?,MSN,AskJeeves,Yahoo!,Netscape,c
What is the name of the oldest programming language still in use?,Matlab,FORTRAN,Ada,COBOL,b
What is the name of Microsoft's web browser?,Ding,King,Ping,Bing,d
Posting deliberately obnoxious or provocative messages in online discussion groups is known as,Phishing,Trolling,Pharming,Spamming,b
The fastest-running animal is:,cheetah,lion,zebra,Jaguar,a
Who invented the first functional telephone?,Albert Einstein,Nikola Tesla,Thomas Alva Edison,Alexander Graham Bell,d
Which cell organelle is also called powerhouse of the cell?,Ribosome,Endoplasmic reticulum,Cytoplasm,Mitochondria,d
