question,a,b,c,d,answer
What is the highest-grossing holiday movie of all time?,Elf,Die Hard,It’s A Wonderful Life,Home Alone,d
What is the name of the talkative parrot in “Aladdin”?,Pascal,Meeko,Iago,Abu,c
What is Bruno Mars’ real name?,Peter Gene Hernandez,Michael Nguyen-Stevenson,Ray Aguirre,Bruno Maritza,a
Robyn Fenty is the real name of which R&B singer?,Rihanna,Beyoncé,Mariah Carey,Alicia Keys,a
Who is Taylor Swift’s “We Are Never Getting Back Together” allegedly about?,Harry Styles,Taylor Lautner,Jake Gyllenhaal,John Mayer,c
Which celebrity does not have a makeup line?,Gwen Stefani,Ariana Grande,Emma Roberts,Madonna,c
"In which fictional American city is ""The Simpsons,"" the animated television series set?",Springfield,Ionia,Portland,Brooklyn,a
What color toilet paper does Kris Jenner use?,Pink,Gold,Black,White,c
What is the name of the Italian restaurant where the lady and the tramp have spaghetti?,Roma Amore,Di Angelo’s Trattoria,Joe’s Italian,Tony’s Restaurant,d
Who was the first woman to ever be inducted into the Rock and Roll Hall of Fame?,Dolly Parton,Janis Joplin,Joni Mitchell,Aretha Franklin,d
Which artist famously cut off his own ear?,Vincent Van Gogh,Claude Monet,Salvador Dali,Pablo Picasso,a
How many days did Khloé and Lamar know each other before getting married?,15,22,30,35,c
Which famous singer released a song called “Adore You”?,Harry Styles,Dua Lipa,Halsey,Shawn Mendes,a
Which astrological sign is a crab?,Pisces,Aquarius,Cancer,Virgo,c
"In Men and Black, what are the two FBI agents hunting?",serial killers,ghosts,aliens,time travelers,c
"In Finding Nemo, what's the name of Nemo's mother?",Coral,Stella,Marina,Cordelia,a
What was the name of Harry Potter’s pet owl?,Luna,Hedwig,Dobby,Fluffy,b
Who is the youngest Kardashian sister?,Kim,Khloe,Kourtney,Kendall,b
"If you are born on the 1st of January, which star sign are you?",Scorpio,Capricorn,Libra,Aries,b
Which Friends character’s famous pickup line is “How you doin’?,Joey,Ross,Chandler,Mike,a
